Date,Open,High,Low,Close,Volume,Adj Clos
2001-10-12,0.05,0.05,0.05,0.05,000,2.0
2001-10-15,0.05,0.05,0.05,0.05,000,2.0
2001-10-16,0.05,0.05,0.05,0.05,000,2.0
2001-10-17,0.05,0.05,0.05,0.05,000,2.0
2001-10-18,0.05,0.05,0.05,0.05,000,2.0
2001-10-19,0.05,0.05,0.05,0.05,000,2.0
2001-10-22,0.05,0.05,0.05,0.05,000,2.0
2001-10-23,0.05,0.05,0.05,0.05,000,2.0
2001-10-24,0.01,0.05,0.01,0.05,000,2.0
2001-10-25,0.05,0.05,0.05,0.05,000,2.0
2001-10-26,0.05,0.05,0.05,0.05,000,2.0
2001-10-29,0.05,0.05,0.05,0.05,000,2.0
2001-10-30,0.05,0.05,0.05,0.05,000,2.0
2001-10-31,0.05,0.05,0.05,0.05,000,2.0
2001-11-01,0.05,0.05,0.05,0.05,000,2.0
2001-11-02,0.05,0.05,0.05,0.05,000,2.0
2001-11-05,0.05,0.05,0.05,0.05,000,2.0
2001-11-06,0.05,0.05,0.05,0.05,000,2.0
2001-11-07,0.05,0.05,0.05,0.05,000,2.0
2001-11-08,0.05,0.05,0.05,0.05,000,2.0
2001-11-09,0.05,0.05,0.05,0.05,000,2.0
2001-11-12,0.05,0.05,0.05,0.05,000,2.0
2001-11-13,0.05,0.05,0.05,0.05,000,2.0
2001-11-14,0.05,0.05,0.05,0.05,000,2.0
2001-11-15,0.05,0.05,0.05,0.05,000,2.0
2001-11-16,0.05,0.05,0.05,0.05,000,2.0
2001-11-19,0.05,0.05,0.05,0.05,000,2.0
2001-11-20,0.05,0.05,0.05,0.05,000,2.0
2001-11-21,0.05,0.05,0.05,0.05,000,2.0
2001-11-22,0.05,0.05,0.05,0.05,000,2.0
2001-11-23,0.05,0.05,0.05,0.05,000,2.0
2001-11-26,0.05,0.05,0.05,0.05,000,2.0
2001-11-27,0.05,0.05,0.05,0.05,000,2.0
2001-11-28,0.05,0.05,0.05,0.05,000,2.0
2001-11-29,0.05,0.05,0.05,0.05,000,2.0
2001-11-30,0.05,0.05,0.05,0.05,000,2.0
2001-12-03,0.05,0.05,0.05,0.05,000,2.0
2001-12-04,0.05,0.05,0.05,0.05,000,2.0
2001-12-05,0.05,0.05,0.05,0.05,000,2.0
2001-12-06,0.05,0.05,0.05,0.05,000,2.0
2001-12-07,0.05,0.05,0.05,0.05,000,2.0
2001-12-10,0.05,0.05,0.05,0.05,000,2.0
2001-12-11,0.05,0.05,0.05,0.05,000,2.0
2001-12-12,0.05,0.05,0.05,0.05,000,2.0
2001-12-13,0.05,0.05,0.05,0.05,000,2.0
2001-12-14,0.05,0.05,0.05,0.05,000,2.0
2001-12-17,0.05,0.05,0.05,0.05,000,2.0
2001-12-18,0.05,0.05,0.05,0.05,000,2.0
2001-12-19,0.05,0.05,0.05,0.05,000,2.0
2001-12-20,0.05,0.05,0.05,0.05,000,2.0
2001-12-21,0.05,0.05,0.05,0.05,000,2.0
2001-12-24,0.05,0.05,0.05,0.05,000,2.0
2001-12-25,0.05,0.05,0.05,0.05,000,2.0
2001-12-26,0.05,0.05,0.05,0.05,000,2.0
2001-12-27,0.05,0.05,0.05,0.05,000,2.0
2001-12-28,0.05,0.05,0.05,0.05,000,2.0
2001-12-31,0.05,0.05,0.05,0.05,000,2.0
2002-01-01,0.05,0.05,0.05,0.05,000,2.0
2002-01-02,0.05,0.05,0.05,0.05,000,2.0
2002-01-03,0.05,0.05,0.05,0.05,000,2.0
2002-01-04,0.05,0.05,0.05,0.05,000,2.0
2002-01-07,0.05,0.05,0.05,0.05,000,2.0
2002-01-08,0.05,0.05,0.05,0.05,000,2.0
2002-01-09,0.05,0.05,0.05,0.05,000,2.0
2002-01-10,0.05,0.05,0.05,0.05,000,2.0
2002-01-11,0.05,0.05,0.05,0.05,000,2.0
2002-01-14,0.05,0.05,0.05,0.05,000,2.0
2002-01-15,0.05,0.05,0.05,0.05,000,2.0
2002-01-16,0.05,0.05,0.05,0.05,000,2.0
2002-01-17,0.05,0.05,0.05,0.05,000,2.0
2002-01-18,0.05,0.05,0.05,0.05,000,2.0
2002-01-21,0.05,0.05,0.05,0.05,000,2.0
2002-01-22,0.05,0.05,0.05,0.05,000,2.0
2002-01-23,0.05,0.05,0.05,0.05,000,2.0
2002-01-24,0.05,0.05,0.05,0.05,000,2.0
2002-01-25,0.05,0.05,0.05,0.05,000,2.0
2002-01-28,0.05,0.05,0.05,0.05,000,2.0
2002-01-29,0.05,0.05,0.05,0.05,000,2.0
2002-01-30,0.05,0.05,0.05,0.05,000,2.0
2002-01-31,0.05,0.05,0.05,0.05,000,2.0
2002-02-01,0.05,0.05,0.05,0.05,000,2.0
2002-02-04,0.05,0.05,0.05,0.05,000,2.0
2002-02-05,0.05,0.05,0.05,0.05,000,2.0
2002-02-06,0.05,0.05,0.05,0.05,000,2.0
2002-02-07,0.05,0.05,0.05,0.05,000,2.0
2002-02-08,0.05,0.05,0.05,0.05,000,2.0
2002-02-11,0.05,0.05,0.05,0.05,000,2.0
2002-02-12,0.05,0.05,0.05,0.05,000,2.0
2002-02-13,0.05,0.05,0.05,0.05,000,2.0
2002-02-14,0.05,0.05,0.05,0.05,000,2.0
2002-02-15,0.05,0.05,0.05,0.05,000,2.0
2002-02-18,0.05,0.05,0.05,0.05,000,2.0
2002-02-19,0.05,0.05,0.05,0.05,000,2.0
2002-02-20,0.05,0.05,0.05,0.05,000,2.0
2002-02-21,0.05,0.05,0.05,0.05,000,2.0
